********************************************************************************
*                             Initializing Cubiquity                           *
********************************************************************************
[13:00:08, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/7B7168E0.vdb'
[13:01:08, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/7B7168E0.vdb'
[13:01:08, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/23EF9B3F.vdb'
[13:01:08, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/7E0B0176.vdb'
[13:01:08, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/687EA6AE.vdb'
[13:01:08, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/0D98F46A.vdb'
[13:01:08, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/229F81A5.vdb'
[13:01:54, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/7B7168E0.vdb'
[13:02:40, Info   ]: Creating empty voxel database as 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/39200542.vdb'
[13:03:06, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/687EA6AE.vdb'
[13:03:06, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/7E0B0176.vdb'
[13:03:27, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/7E0B0176.vdb'
[13:03:27, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/687EA6AE.vdb'
[13:04:02, Info   ]: Creating empty voxel database as 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/0F7708D9.vdb'
[13:15:02, Info   ]: Resizing compressed data buffer to 288486bytes. This should only happen once
[13:15:02, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/0F7708D9.vdb'
[13:15:39, Info   ]: Resizing compressed data buffer to 288486bytes. This should only happen once
[13:15:41, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/0F7708D9.vdb'
[13:15:41, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/7B7168E0.vdb'
[13:15:41, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/23EF9B3F.vdb'
[13:15:41, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/0D98F46A.vdb'
[13:15:41, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/7E0B0176.vdb'
[13:15:41, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/687EA6AE.vdb'
[13:15:41, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/229F81A5.vdb'
[13:16:38, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/0F7708D9.vdb'
[13:16:38, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/7B7168E0.vdb'
[13:16:41, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/0F7708D9.vdb'
[13:16:41, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/7B7168E0.vdb'
[13:16:41, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/0D98F46A.vdb'
[13:16:41, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/23EF9B3F.vdb'
[13:16:41, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/7E0B0176.vdb'
[13:16:41, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/687EA6AE.vdb'
[13:16:42, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/229F81A5.vdb'
[13:17:24, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/0F7708D9.vdb'
[13:17:24, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/7B7168E0.vdb'
[13:18:08, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/0F7708D9.vdb'
[13:18:08, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/7B7168E0.vdb'
[13:18:08, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/23EF9B3F.vdb'
[13:18:08, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/0D98F46A.vdb'
[13:18:08, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/7E0B0176.vdb'
[13:18:08, Info   ]: Creating voxel database from 'C:/Users/Zuri/Desktop/Git/3DPlatformer/3DPlatformer/Assets/StreamingAssets/Cubiquity/VoxelDatabases/687EA6AE.vdb'
